fecha,zona_residencia,zona_pernoctacion,personas
20230701,2702802,32026_AM,5953
20230701,27041_AM,28132,2966
20230701,2800501,13034,2134
20230701,2800503,41020,4036
20230701,2800504,46113,9146
20230701,2800701,28030,1975
20230701,28012_AM,39001_AM,5025
20230701,2801302,28115,2378
20230701,28022,34069_AM,4505
20230701,28022,39035,4505
20230701,28032_AM,46204,1965
20230701,28041,28164,10634
20230701,28052,04013,2168
20230701,2805402,41091,3446
20230701,2805804,44216,4207
20230701,2805805,03121,1004
20230701,2805806,45106,8328
20230701,2806502,42164_AM,6359
20230701,2806502,46048,3494
20230701,2806504,06005_AM,2373
20230701,2807401,38011,2312
20230701,2807402,28006,6288
20230701,2807403,38028,82
20230701,2807403,49081_AM,2262
20230701,2807405,07054,28
20230701,2807405,18149_AM,28
20230701,28075,19220_AM,1929
20230701,2807901,06095,5831
20230701,2807903,18173,15551
20230701,2807903,28181,28303
20230701,2807904,18136_AM,9341
20230701,2807905,14021,118396
20230701,2807906,24196_AM,9469
20230701,2807908,33036,135824
20230701,2807909,03011,14319
20230701,2807909,46044,4188
20230701,2807909,49122_AM,3326
20230701,2807910,27012_AM,3258
20230701,2807912,13052,29091
20230701,2807912,45034_AM,9287
20230701,2807913,19071,33587
20230701,2807913,28041,2843
20230701,2807914,07040,13732
20230701,2807914,48036,5234
20230701,2807915,06063,6476
20230701,2807916,03063,279394
20230701,2807917,41033_AM,3112
20230701,2807918,14046,8326
20230701,2807920,13054,2713
20230701,2807920,36061,3458
20230701,2807921,03101,3343
20230701,2808002,19190,3334
20230701,2809201,25050,3783
20230701,2809202,30016,54301
20230701,2809204,37136_AM,6391
20230701,28096,33012,8055
20230701,2811302,29025,3648
20230701,2811501,28092,52243
20230701,2811501,47104_AM,2999
20230701,28123,03047,67517
20230701,28123,28144,6975
20230701,28123,46120_AM,13974
20230701,28145,28145,3775944
20230701,2816101,23011_AM,2067
20230701,2816102,05054_AM,23909
20230701,2816102,45161,31361
20230701,28164,28134,33404
20230701,28177,07015,4086
20230701,2902503,35004,6561
20230701,2906704,23053,2824
20230701,2906706,06015,3562
20230701,2906709,45168,8859
20230701,2906709,50297,5017
20230701,29082_AM,29051,28987
20230701,29084,23045_AM,5537
20230701,2909102,03014,439
20230701,2909404,38023,2298
20230701,29901,23097_AM,3039
20230701,3001606,30039_AM,2312
20230701,30019,15008,2862
20230701,3003001,30003,389276
20230701,3003003,18147,4655
20230701,3003004,28115,3715
20230701,3003005,39052,427
20230701,31042_AM,31254,6146
20230701,31097,31908_AM,3544
20230701,31101_AM,22048,10
20230701,3120102,28014,6627
20230701,3120105,31254,10449
20230701,3205405,32072,20244
20230701,32058_AM,33036,3211
