fecha,zona_residencia,zona_pernoctacion,personas
20230701,2807903,16249_AM,7612
20230701,2807903,33019_AM,7312
20230701,2807903,45085_AM,4068
20230701,2807906,07033,594
20230701,2807906,08047_AM,3449
20230701,2807907,35029,4897
20230701,2807910,05047,88358
20230701,2807911,28125,24642
20230701,2807912,10064_AM,7922
20230701,2807915,28067_AM,57658
20230701,2807916,14055,9245
20230701,2807917,13019,17112
20230701,2807918,13028_AM,24914
20230701,2807919,15070_AM,367
20230701,2807919,GAU Alcoy/Alcoi,3197
20230701,2807920,10110,852
20230701,2808001,05114_AM,11702
20230701,2809201,45087,4778
20230701,2809202,45173,4818
20230701,2809202,45180,9287
20230701,2809203,45099,87064
20230701,2809204,40170_AM,969
20230701,28095,19160_AM,1965
20230701,28106,29095_AM,4287
20230701,28133,GAU Toledo,5687
20230701,2814802,28172,21997
20230701,2814803,31050_AM,5579
20230701,2816101,05021_AM,10778
20230701,28162,28151_AM,226
20230701,28164,28151_AM,3481
20230701,28167,GAU Aranjuez,3129
20230701,28177,18088_AM,5502
20230701,28181,45012_AM,6882
20230701,2902502,29091,9352
20230701,2904203,29091,2139
20230701,2904204,21044,2188
20230701,2906707,41090,5868
20230701,2906708,06059_AM,2025
20230701,2906708,41046_AM,5331
20230701,29082_AM,14043_AM,1842
20230701,29082_AM,18133,3323
20230701,29088,14056,2771
20230701,29095_AM,11006,2165
20230701,3001607,03013_AM,2953
20230701,3003001,30003,389276
20230701,3003005,GAU Toledo,6859
20230701,30036,35010,3453
20230701,30043,30022,104172
20230701,30043,30026,5896
20230701,30901,44050_AM,3183
20230701,31016,31038_AM,341
20230701,31019_AM,36051,60
20230701,31078_AM,31208_AM,2551
20230701,3120102,17111_AM,4103
20230701,3120102,31157_AM,8335
20230701,3120104,26047_AM,1084
20230701,3120105,33019_AM,8042
20230701,3120105,GAU La Costa Blanca,3559
20230701,3120107,31084_AM,81517
20230701,31251_AM,43038_AM,11583
20230701,31901,22130,592
20230701,31901,31041_AM,23309
20230701,32017_AM,GAU Burgos,2314
20230701,32086,32076_AM,498
20230701,33004,33007_AM,129343
20230701,3302404,32025_AM,475
20230701,33037,GAU Bilbao,898
20230701,33041,GAU A Coruña,6344
20230701,3304401,GAU Alicante - Elche,6013
20230701,3304403,GAU Gran Canaria Sur,9483
20230701,3304406,GAU Zaragoza,23842
20230701,3304408,09124_AM,5421
20230701,3304416,37173_AM,151
20230701,33066,GAU Torrevieja,12438
20230701,3502604,38024,3336
20230701,35032,35023,12667
20230701,36005,07032,3629
20230701,36027,36052,3385
20230701,36042,15006_AM,14819
20230701,36052,15022_AM,5545
20230701,3605707,35028,5734
20230701,3727401,GAU Logroño,16913
20230701,3727405,05102_AM,4427
20230701,3727405,09321_AM,369
20230701,3727405,38024,292
20230701,3727405,50067,1845
20230701,3802302,35017,3076
20230701,3802603,35024,16418
20230701,3803811,32075_AM,4232
20230701,39025,39082_AM,3964
20230701,39027_AM,39047,1893
20230701,39027_AM,39056_AM,4144
20230701,39043_AM,39027_AM,5406
20230701,39056_AM,10205_AM,1375
20230701,3907502,10203,3761
20230701,39078_AM,GAU Gandía,1961
20230701,3908703,GAU Madrid,48233
20230701,3908704,35034,2034
20230701,3908705,GAU La Costa Blanca,7557
20230701,40094_AM,GAU Ciudad Real,10
20230701,4100403,GAU Santiago de Compostela,3796
20230701,41017,21044,159082
20230701,41018,GAU Cáceres,6212
20230701,41026,18099_AM,3909
20230701,4103801,06149,5728
20230701,4103901,41041_AM,321
20230701,4103902,11026_AM,1574
20230701,41041_AM,41065_AM,5929
20230701,4105301,GAU Alicante - Elche,535
20230701,4105503,16251_AM,2621
20230701,41059,07024,12919
20230701,4106701,18066,5507
20230701,4109107,14049,8472
20230701,4109110,21010,106616
20230701,41099,41101,1991
20230701,41101,41032_AM,2895
20230701,4217301,23059,3079
20230701,43153,17117,3936
20230701,43162,17032,3601
20230701,4316303,25203,1777
20230701,43905,GAU Central de Asturias,11566
20230701,44008_AM,45136,1688
20230701,45054,25038_AM,3722
20230701,45059_AM,45192_AM,3298
20230701,4506601,45046_AM,1962
20230701,4508102,19071,1995
20230701,45118_AM,13082,2547
20230701,45119,GAU Sagunto/Sagunt,2553
20230701,45161,23092,18498
20230701,4516502,10186_AM,3566
20230701,45203,GAU Vigo - Pontevedra,1992
20230701,4600501,12126,2981
20230701,4600503,35014,3098
20230701,46020,46251_AM,7159
20230701,4603103,46083,3731
20230701,46032,28108,2454
20230701,46105,23097_AM,2195
20230701,46123,46008,5942
20230701,4615901,46120_AM,5342
20230701,4617101,GAU Vélez-Málaga,4604
20230701,4618402,46160_AM,3382
20230701,46194,46182_AM,2504
20230701,46203_AM,02009,1298
20230701,4623501,GAU Ferrol,3291
20230701,4623803,GAU Alcoy/Alcoi,2565
20230701,4625008,13087,5197
20230701,4625008,GAU Pamplona,17941
20230701,4625009,44059_AM,5746
20230701,4625009,46197_AM,2545
20230701,4625012,13033_AM,2462
20230701,4625012,GAU Torrevieja,33039
20230701,4625013,12034_AM,9397
20230701,4625013,46118_AM,24724
20230701,4625016,46136,22873
20230701,46257,46168_AM,2067
20230701,47004_AM,47071_AM,4864
20230701,4716502,24039_AM,4428
20230701,47173_AM,GAU Valladolid,145365
20230701,47182_AM,GAU Santander - Torrelavega,1326
20230701,4718609,24092_AM,3803
20230701,47231,39085,39903
20230701,47231,GAU La Bahía de Cádiz,11113
20230701,48001_AM,21044,3805
20230701,48012_AM,GAU Logroño,3224
20230701,4801306,26042_AM,42961
20230701,48016,24181_AM,4463
20230701,4801702,GAU Vitoria/Gasteiz,5967
20230701,4802002,17152,3488
20230701,4802003,44153,4607
20230701,48032,48077_AM,2646
20230701,4804401,48018_AM,33323
20230701,4805401,09124_AM,4239
20230701,48055_AM,26005,349
20230701,48096,GAU Palma de Mallorca,7214
20230701,48905,48055_AM,474
20230701,48910_AM,33056,2841
20230701,49250_AM,GAU Donostia/San Sebastián,8667
20230701,4927501,24160_AM,3969
20230701,4927502,GAU Almería,5204
20230701,50235_AM,GAU Pamplona,2585
20230701,5029701,50252,7851
20230701,5029708,50008_AM,36873
