fecha,zona_residencia,zona_pernoctacion,personas
20230701,1715202,1706601,4275
20230701,17215_AM,17120_AM,1625
20230701,18014_AM,23005,5575
20230701,18017,2800505,2886
20230701,18021,3003004,9221
20230701,1802301,18089,17459
20230701,1808701,0306304,2379
20230701,1808702,0601102,5727
20230701,1808703,5029703,6777
20230701,1808708_AD,1402110,1699
20230701,1808708_AD,22048,2322
20230701,1812702,2512004,3482
20230701,1814005,1814001,16475
20230701,18193,18173,60359
20230701,18911,14046,3796
20230701,1913001,0610302,3236
20230701,19326,1913002,6050
20230701,2001703,2003002,7884
20230701,20040,2006905,17102
20230701,20055,2608905,3160
20230701,20063,4808403,3514
20230701,2006904,34080,3800
20230701,2006906,48012_AM,7356
20230701,2007403,20080,2432
20230701,2104105,24170_AM,3946
20230701,2104403,2104403,7622020
20230701,2106102,2104403,3178
20230701,21076_AM,1402109,5294
20230701,23028,18108_AM,2554
20230701,2305008,2305008,3860460
20230701,2305507,04902,2739
20230701,2305901,1102701,2883
20230701,2408902,1504801,6007
20230701,2408904,37046_AM,3793
20230701,2408904,42043_AM,5434
20230701,2408905,24163,7916
20230701,2414202,1715202,3332
20230701,25059_AM,25059_AM,2310554
20230701,2512002,43905,109024
20230701,25173_AM,43142_AM,8548
20230701,25192_AM,0827901,4712
20230701,2601102,31208_AM,10609
20230701,26036,3501903,2653
20230701,26059_AM,14046,11585
20230701,26071_AM,47114,3643
20230701,2608904,4625004,3904
20230701,26168,3908705,8982
20230701,27006,0810103,7273
20230701,27051,27048_AM,24038
20230701,2800502,14052,3939
20230701,2800505,1702303,4400
20230701,2800702,28014,63216
20230701,2800704,1808709,3868
20230701,2800704,31221_AM,2275
20230701,2800704,3907902,2275
20230701,2800704,45056,10719
20230701,28009,2906904,30508
20230701,28010,45040_AM,10049
20230701,2801301,2806503,12528
20230701,28014,0309905,19816
20230701,28015,12012_AM,15175
20230701,28015,28181,38762
20230701,28015,38001,15175
20230701,28028,3605101,4413
20230701,28033,29007,2704
20230701,28036,46143_AM,4132
20230701,2804002,2906710,2678
20230701,2804903,2807915,2811
20230701,2804903,28901_AM,3874
20230701,28050,0313302,2574
20230701,28057_AM,1103003,9073
20230701,2805807,2807921,21357
20230701,28061,08122_AM,3118
20230701,2806502,45041,5427
20230701,2806503,0601501,8207
20230701,2806503,0701504,7350
20230701,2806503,14005_AM,6092
20230701,28066,2801304,7677
20230701,28068,1101402,2990
20230701,2807401,3002401,1746
20230701,2807401,38025,6447
20230701,2807404,23075,2617
20230701,2807902,28004,22720
20230701,2807902,28144,44560
20230701,2807902,43131,5521
20230701,2807904,2305501_AD,6565
20230701,2807904,26059_AM,6883
20230701,2807905,27030,3441
20230701,2807905,28180,3441
20230701,2807905,3001605,3441
20230701,2807905,45124,7352
20230701,2807906,1505802,16784
20230701,2807908,22117_AM,14590
20230701,2807909,0704003,16364
20230701,2807909,18094,6802
20230701,2807909,2905103,14217
20230701,2807910,31101_AM,2706
20230701,2807912,2301002,3838
